"","X2017_CPH12_S57","X2017_CPH15_S59","X2017_CPH17_S61","X2017_CPH24_S64","X2017_CPH3_S66","X2017_CPH31_S68","X2017_CPH32_S69","X2017_CPH33_S70","X2017_CPH34_S71","X2017_CPH36_S72","X2017_CPH37_S73","X2017_CPH40_S75","X2017_CPH41_S76","X2017_CPH44_S78","X2017_CPH48_S79","X2017_CPH50_S81","X2017_CPH61_S84","X2017_CPH67_S85","X2017_CPH68_S86","X2017_CPH77_S89","X2017_CPH79_S90","X2017_CPH82_S92","X2017_CPH86_S93","X2017_CPH87_S94","X2017_CPH88_S95","X2017_CPH9_S96","X2017_CPH90_S97","X2020_t0_CPH19_S107","X2020_t0_CPH28_S115","X2020_t0_CPH29_S116","X2020_t0_CPH32_S120","X2020_t0_CPH39_S127","X2020_t0_CPH42_S131","X2020_t0_CPH67_S158","X2020_t0_CPH69_S160","X2020_t0_CPH72_S164","X2020_t0_CPH73_S165","X2020_t0_CPH78_S170","X2020_t0_CPH91_S185","X17_18_001WR_S4","X17_18_003TB_S5","X17_18_005JB_S6","X17_18_011AS_S7","X17_18_016AB_S10","X17_18_017AF_S11","X17_18_018SD_S12","X17_18_020DH_S13","X17_18_021KD_S14","X17_18_022MB_S15","X17_18_026SM_S17","X17_18_027PL_S18","X17_18_028LB_S19","X17_18_029AS_S20","X17_18_034MJC_S25","X17_18_037SD_S27","X17_18_039DK_S29","X17_18_041JW_S31","X17_18_044JC_S33","X17_18_046IC_S34","X17_18_047AJ_S35","X17_18_050JMC_S38","X17_18_054RT_S42","X17_18_055GP_S43","X17_19_059OC_S45","X17_19_061LC_S46","X17_18_032AM_S23","X17_18_049CS_S37","X17_20_072CS_S53","X17_18_025MA_S16","X17_18_040RO_S30","X17_19_064WC_S47"
"hsa-miR-100-5p",35,172,163,201,37,146,113,305,466,660,288,246,157,207,361,282,250,207,67,107,253,500,776,993,227,96,190,617,459,392,178,321,414,411,358,158,151,512,2114,399,992,606,68,67,475,186,49,148,74,323,260,266,158,29,134,67,200,282,67,35,73,51,38,92,76,91,66,35,25,239,82
"hsa-miR-3135b",48,28,11,17,51,18,0,9,22,19,0,25,25,14,30,68,11,49,0,0,0,10,11,0,19,24,0,15,12,24,12,0,0,16,0,0,0,10,11,0,0,17,0,0,0,31,0,0,0,24,22,28,40,0,23,0,26,49,26,0,10,0,0,11,18,14,0,0,0,34,0
"hsa-miR-34a-5p",19,29,0,0,13,16,0,34,10,48,14,33,24,33,10,14,24,20,0,0,26,41,30,40,21,0,0,57,56,49,34,82,20,102,65,58,25,48,178,21,16,157,20,14,13,26,14,43,0,27,55,35,44,14,51,0,21,28,18,0,0,0,0,0,0,13,0,16,27,88,0
"hsa-miR-4710",35,64,17,16,24,73,21,44,56,36,0,21,0,25,61,60,18,42,0,17,0,40,52,17,31,38,20,15,0,11,15,16,0,21,0,0,0,11,12,10,13,19,10,0,0,20,0,0,0,21,25,30,24,0,20,0,19,21,10,8,15,10,14,22,31,0,0,0,12,25,0
"hsa-miR-486-3p",1190,1027,430,569,862,1289,672,1427,709,1022,319,564,911,1804,1184,1190,1639,853,808,365,1391,1053,779,491,787,581,273,1184,610,860,423,324,242,705,1109,480,1423,1398,962,500,694,1152,271,109,208,1571,132,222,134,711,678,1268,571,98,1602,83,1137,2528,220,181,178,103,116,226,191,663,319,388,537,1456,51
"hsa-miR-584-5p",0,29,0,8,5,23,6,12,16,38,0,11,0,5,28,75,11,13,0,7,15,41,16,7,8,14,0,0,0,61,0,9,0,0,0,0,10,0,36,0,16,24,0,0,0,0,0,0,0,0,28,23,0,0,34,0,43,17,0,0,16,0,0,0,20,0,0,0,19,34,0
"hsa-miR-628-5p",14,40,0,10,9,31,0,17,21,59,0,13,0,9,16,56,15,18,0,0,10,45,23,0,11,16,0,12,0,42,0,9,0,8,10,0,0,6,16,0,13,22,0,0,0,0,0,0,10,19,38,26,21,0,34,0,48,18,0,0,12,0,0,0,16,0,0,0,0,37,0
"hsa-miR-664b-5p",23,12,5,10,23,36,14,22,70,27,0,16,7,18,12,104,11,30,14,32,20,19,15,17,15,35,0,8,0,5,12,0,0,5,0,0,0,5,12,0,0,0,0,0,0,44,11,0,0,33,32,69,31,0,66,0,46,45,0,0,13,0,0,13,12,20,0,0,0,55,0
"hsa-miR-6721-5p",8,15,22,23,10,16,32,21,83,14,0,81,26,11,59,46,15,61,0,22,0,30,7,8,13,30,7,9,7,0,0,0,0,0,0,6,5,2,13,0,29,0,0,0,0,47,0,0,0,30,0,84,0,0,110,0,46,51,29,0,17,0,0,0,0,26,0,0,19,51,0
"hsa-miR-92b-3p",147,178,60,132,104,307,85,147,181,388,72,168,98,215,154,399,151,166,13,70,182,225,173,163,175,109,40,281,127,256,126,240,119,246,211,134,212,328,522,55,84,238,68,36,79,128,66,103,125,79,110,100,53,51,177,19,112,178,94,29,100,26,25,56,45,118,41,37,78,264,19
